,tempmin_z_score,temp_z_score,feelslikemax_z_score,feelslikemin_z_score,feelslike_z_score,dew_z_score,humidity_z_score,precip_z_score,precipcover_z_score,snow_z_score,snowdepth_z_score,cloudcover_z_score,uvindex_z_score,severerisk_z_score,num_date_z_score
count,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0,3684.0
mean,3.548856226380522e-16,9.257885807949189e-17,-1.1572357259936485e-16,-1.6972790647906845e-16,2.314471451987297e-16,-1.5429809679915313e-16,3.7031543231796754e-16,-6.94341435596189e-17,-7.136286976960832e-17,-7.714904839957657e-18,1.5429809679915314e-17,-2.0058752583889907e-16,-1.4658319195919547e-16,-6.171923871966126e-17,-3.085961935983063e-17
std,0.9999999999999981,1.000000000000001,0.9999999999999992,0.9999999999999971,1.0000000000000022,1.0000000000000018,1.0000000000000024,1.0000000000000004,1.0000000000000075,0.9999999999999992,0.9999999999999835,1.0000000000000069,1.0000000000000182,1.0000000000000087,1.000000000000002
min,-3.2048573578389212,-3.059674053533033,-2.9671881255224513,-3.755646366505077,-3.372092475976107,-2.951796122254915,-3.1248704429630756,-0.4311760864243229,-0.7148878312083597,-0.19479189707993508,-0.2713218259614663,-1.893207037888652,-1.9596712347445908,-0.47070726633684995,-1.6861916749630181
25%,-0.8623723622723881,-0.8526319294183222,-0.8492647025221162,-0.8740808449095682,-0.8640504393139898,-0.8457896237346246,-0.6641971259611212,-0.4311760864243229,-0.7148878312083597,-0.19479189707993508,-0.2713218259614663,-0.8576954348570667,-0.7251587811195785,-0.47070726633684995,-0.8201282284889861
50%,0.04859402489237494,0.10355253307279198,0.2271387312851126,0.10850245132352941,0.1771203857216129,0.032682700233783786,0.08501742030139614,-0.41431743266917065,-0.5234769073633498,-0.19479189707993508,-0.2713218259614663,0.025106089185602108,0.09784952129709638,-0.47070726633684995,-0.04782663661898041
75%,0.9239273731034142,0.9033797878609571,0.8151739404946172,0.9294431586685398,0.8797824696126356,0.9111550242021919,0.7529918350414717,-0.058599838435457935,0.43265967385764703,-0.19479189707993508,-0.2713218259614663,0.8761645069215862,0.9208578237137712,0.46059540239835695,0.8108345581757863
max,1.7837680956823996,1.7212482589225389,1.9115107712242023,1.6358339998723856,1.7773435256778105,1.7954450456803248,2.1611541147637934,12.792751919117112,3.8753021890556676,14.863664771828853,12.468556328159087,1.538480130401606,2.1553702773387835,8.842319421015219,1.9162374756127274
