latitude,longitude,datetime,tempmax,tempmin,temp,feelslikemin,humidity,precip,preciptype,cloudcover,conditions,description,stations
39.952,-75.162,2021-04-17,56.5,43.9,51.3,39.5,54.9,0,,69.6,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-18,63.4,49.4,56.2,47.4,51.1,0,,85,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-19,62.6,45.8,55.7,44.6,63.9,0,,54.2,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-20,74.5,47.7,61.1,46,57.8,0,,32.2,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-21,71.8,41.9,55.7,33.9,54.7,0.023,rain,65.8,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,"F5255,72408013739,72408594732,72407493780,E8199,KPHL,KPNE"
39.952,-75.162,2021-04-22,48.7,35.5,42.5,26.3,38.2,0,,51,Partially cloudy,Partly cloudy throughout the day.,"F7863,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-23,62.1,36.7,50.4,31.3,39,0,,19.1,Clear,Clear conditions throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-24,66.9,44.1,56.8,42.5,45.2,0,,40.7,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-04-25,64.7,48.6,56.4,43.8,67.2,0.489,rain,88.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-26,61.4,43.4,52.9,36.3,38.2,0,,10.3,Clear,Clear conditions throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-27,76.4,45.9,60.8,43.2,47.6,0,,52,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-28,86.4,57.5,72.9,57.5,54.9,0,,63.5,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-29,78.9,65.7,71.4,65.7,71.6,0.393,rain,88.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F5255,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-04-30,69.5,51.4,62.8,51.4,48.9,0.071,rain,74.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-01,66.2,45.1,54.8,37.7,36.5,0,,33.1,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-02,83.8,55.8,69,55.8,38.5,0,,60.2,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-03,70.5,60.7,64.9,60.7,70.2,0.071,rain,85.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-04,80.8,56.9,67.2,56.9,79.6,0.159,rain,88.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-05,72.9,57.8,62.3,57.8,82.8,0.383,rain,84.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-06,64.6,50,57.6,45.8,47.8,0,,40.9,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-07,67.8,47.1,57.2,44.2,47.8,0.006,rain,67.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-08,57.6,48.6,52.3,44.8,70.5,0.191,rain,83.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-09,56.5,45.9,50.9,42.2,68.6,0.019,rain,72.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-10,61,51.2,55.2,51.2,67.7,0,,80.4,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-11,64.9,47.1,57.1,46.2,46.1,0,,54.5,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-12,67.4,45.6,56.6,42.2,39.4,0,,43.3,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-13,70.6,46.2,59.9,43.9,35.6,0,,21.7,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-14,74.1,49.7,62.8,49.7,41.9,0,,25.9,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-15,75.7,48.2,62.4,48.2,51.9,0,,28.8,Partially cloudy,Becoming cloudy in the afternoon.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-16,72.4,50.6,62.4,50.6,48.2,0,,52.7,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-17,75.7,51,64.6,51,50.5,0,,34.7,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-18,80.7,52.2,67.3,52.2,50.9,0,,8.2,Clear,Clear conditions throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-19,87.7,59.1,74.2,59.1,46.6,0,,17.1,Clear,Clear conditions throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-20,81.6,58.4,70,58.4,48.7,0,,42.2,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-21,83.5,54.6,68.9,54.6,48.7,0,,21.8,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-22,90.6,63.1,77.8,63.1,47,0,,66.2,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-05-23,90.8,73.5,82.8,73.5,44.7,0,,61.2,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-24,78,59.8,66,59.8,55.8,0,,95.7,Overcast,Cloudy skies throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-25,74.6,58.5,65.6,58.5,62.7,0,,82.7,Partially cloudy,Partly cloudy throughout the day.,"F5255,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-05-26,90.5,64.1,73.7,64.1,77,0.711,rain,68.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,"F5255,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-27,82.1,67.5,74.4,67.5,61.9,0.14,rain,47.9,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-05-28,67.6,52.4,61.1,52.4,65.8,0.628,rain,87.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-29,52.6,48.5,50.1,42.9,89.2,0.817,rain,100,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-30,52.6,46.7,49.4,41.5,89.7,0.306,rain,99.3,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-05-31,72.7,49.9,60.3,47.7,64.9,0,,70.9,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,KPNE"
39.952,-75.162,2021-06-01,76.3,53.8,66.3,53.8,63.7,0,,63.3,Partially cloudy,Partly cloudy throughout the day.,"F6990,72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
39.952,-75.162,2021-06-02,77.9,59.9,68.6,59.9,65,0,,67,Partially cloudy,Partly cloudy throughout the day.,"72408013739,72408594732,72407493780,72030464752,E8199,KPHL,DE045,KPNE"
