YEAR,STATE_NAME,STATE_ABBREV,STATE_FIPS,opioid_dispensing_rate,Opioid Dispensing Rate (per 100 persons)
2021,Nebraska,NE,31,46.7,42.8 - 52.8
2021,Nevada,NV,32,45.2,42.8 - 52.8
2021,New Hampshire,NH,33,33.7,<36.1
2021,New Jersey,NJ,34,29.6,<36.1
2021,New Mexico,NM,35,38.6,36.1 - 42.7
2021,New York,NY,36,30.1,<36.1
2021,North Carolina,NC,37,52.1,42.8 - 52.8
2021,North Dakota,ND,38,36.7,36.1 - 42.7
2021,Ohio,OH,39,45.8,42.8 - 52.8
2021,Oklahoma,OK,40,58.3,>52.8
2021,Oregon,OR,41,44.6,42.8 - 52.8
2021,Pennsylvania,PA,42,40.9,36.1 - 42.7
2021,Rhode Island,RI,44,33.5,<36.1
2021,South Carolina,SC,45,55.2,>52.8
2021,South Dakota,SD,46,39.1,36.1 - 42.7
2021,Tennessee,TN,47,66,>52.8
2021,Texas,TX,48,36,<36.1
2021,Utah,UT,49,48,42.8 - 52.8
2021,Vermont,VT,50,32.5,<36.1
2021,Virginia,VA,51,36.3,36.1 - 42.7
2021,Washington,WA,53,38.5,36.1 - 42.7
2021,West Virginia,WV,54,52.3,42.8 - 52.8
2021,Wisconsin,WI,55,38.3,36.1 - 42.7
2021,Wyoming,WY,56,45.7,42.8 - 52.8
2022,Alabama,AL,1,74.5,>52.8
2022,Alaska,AK,2,32.1,<36.1
2022,Arizona,AZ,4,37.1,36.1 - 42.7
2022,Arkansas,AR,5,72.2,>52.8
2022,California,CA,6,25.6,<36.1
2022,Colorado,CO,8,34.1,<36.1
2022,Connecticut,CT,9,33.9,<36.1
2022,Delaware,DE,10,40.7,36.1 - 42.7
2022,District of Columbia,DC,11,32.1,<36.1
2022,Florida,FL,12,40,36.1 - 42.7
2022,Georgia,GA,13,49.8,42.8 - 52.8
2022,Hawaii,HI,15,24.3,<36.1
2022,Idaho,ID,16,45.4,42.8 - 52.8
2022,Illinois,IL,17,37.1,36.1 - 42.7
2022,Indiana,IN,18,52.5,42.8 - 52.8
2022,Iowa,IA,19,37.1,36.1 - 42.7
2022,Kansas,KS,20,55.3,>52.8
2022,Kentucky,KY,21,61.6,>52.8
2022,Louisiana,LA,22,65.6,>52.8
2022,Maine,ME,23,35.2,<36.1
2022,Maryland,MD,24,34.8,<36.1
2022,Massachusetts,MA,25,30.8,<36.1
2022,Michigan,MI,26,50.3,42.8 - 52.8
2022,Minnesota,MN,27,27.7,<36.1
2022,Mississippi,MS,28,64,>52.8
2022,Missouri,MO,29,49.4,42.8 - 52.8
2022,Montana,MT,30,41.9,36.1 - 42.7
2022,Nebraska,NE,31,44.5,42.8 - 52.8
2022,Nevada,NV,32,41.5,36.1 - 42.7
2022,New Hampshire,NH,33,32,<36.1
2022,New Jersey,NJ,34,28,<36.1
2022,New Mexico,NM,35,35.6,<36.1
2022,New York,NY,36,28.1,<36.1
2022,North Carolina,NC,37,48.9,42.8 - 52.8
2022,North Dakota,ND,38,34,<36.1
2022,Ohio,OH,39,43,42.8 - 52.8
2022,Oklahoma,OK,40,55.5,>52.8
2022,Oregon,OR,41,42.1,36.1 - 42.7
2022,Pennsylvania,PA,42,38.5,36.1 - 42.7
2022,Rhode Island,RI,44,31.5,<36.1
2022,South Carolina,SC,45,51.5,42.8 - 52.8
2022,South Dakota,SD,46,37.5,36.1 - 42.7
2022,Tennessee,TN,47,61.5,>52.8
2022,Texas,TX,48,33.9,<36.1
2022,Utah,UT,49,46.3,42.8 - 52.8
2022,Vermont,VT,50,30.1,<36.1
2022,Virginia,VA,51,34.1,<36.1
2022,Washington,WA,53,36.2,36.1 - 42.7
2022,West Virginia,WV,54,48,42.8 - 52.8
2022,Wisconsin,WI,55,35.1,<36.1
2022,Wyoming,WY,56,44,42.8 - 52.8
